"genbank_accession"	"tax"
"GU647176"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Polarella; Polarella_glacialis"
"EF419281"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"EF052682"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_anauniensis"
"AY139192"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"FN690138"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Woloszynskia; Woloszynskia_sp."
"FN690129"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"AB016581"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"HM042369"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodiniaceae_X; Symbiodiniaceae_X_sp."
"AB016575"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"HQ822131"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Fugacium; Fugacium_kawagutii"
"HE653239"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Effrenium; Effrenium_sp."
"FN690082"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"AB016576"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"AY165766"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"AF255737"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"AB016573"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"EF036539"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_goreaui"
"HM103498"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690084"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"HM042380"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"AJ271764"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Symbiodinium; Symbiodinium_sp."
"AF238260"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"AJ271762"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium; Cladocopium_sp."
"FN690114"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Woloszynskia; Woloszynskia_sp."
"GQ483815"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"GU290072"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"JN090911"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"HM103521"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690135"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
"FN690259"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Suessiaceae_X; Suessiaceae_X_sp."
"AB055912"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Symbiodiniaceae; Durusdinium; Durusdinium_sp."
"EF492493"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Protodinium; Protodinium_simplex"
"FN690096"	"Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae; Biecheleria; Biecheleria_sp."
